USER_ID,GENDER,CUSTOMER_TYPE,ACTIVITY,HAVE_RETENTION,BAD_REFERENCE_COUNTER,MARITAL_STATUS,NUMBER_OF_DEPENDENTS,NUMBER_OF_CHILDREN,LEVEL_OF_STUDY,HAVE_ASSETS,AMOUNT_OF_INCOME,AMOUNT_OF_EXPENSE
86,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
87,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
88,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
89,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
90,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
91,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
92,FEMALE,P,,S,1,MARRIED,7,,,,,0.00
93,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
94,FEMALE,P,0117,N,1,SINGLE,1,,7,,600.00,0.00
95,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
97,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
98,FEMALE,P,0117,N,1,MARRIED,1,,7,,50000.00,0.00
99,FEMALE,P,,S,1,MARRIED,0,,,,,0.00
100,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
101,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
102,FEMALE,P,0117,N,1,MARRIED,1,,7,,300000.00,0.00
103,FEMALE,P,0117,N,1,MARRIED,1,,7,,570.00,0.00
104,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
105,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
106,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
107,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
108,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
109,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
110,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
111,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
112,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
113,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
114,FEMALE,P,0117,N,1,SINGLE,1,,7,,415.46,0.00
115,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
116,FEMALE,P,0117,N,1,MARRIED,1,,7,,50000.00,0.00
117,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
118,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
119,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
120,FEMALE,P,,S,1,MARRIED,1,,,,,0.00
121,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
122,FEMALE,P,0117,N,1,SINGLE,1,,7,,900.00,0.00
123,FEMALE,P,0117,N,1,MARRIED,1,,7,,375.00,0.00
124,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
125,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
126,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
127,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
128,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
129,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
130,FEMALE,P,,S,1,MARRIED,,,,,,0.00
131,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
132,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
133,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
134,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
135,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
136,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
137,FEMALE,P,,S,1,MARRIED,,,,,,0.00
138,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
139,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
140,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
141,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
142,FEMALE,P,0117,N,1,MARRIED,1,,7,,900.00,0.00
143,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
144,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
145,FEMALE,P,,S,1,MARRIED,,,,,,0.00
146,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
147,FEMALE,P,,S,1,MARRIED,0,,,,,0.00
148,FEMALE,P,0117,N,1,SINGLE,1,,7,,560.00,0.00
149,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
150,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
151,FEMALE,P,0117,N,1,SINGLE,1,,7,,530.40,0.00
152,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
153,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
154,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
